name,ingredients,text
Лазанья с тыквой и вялеными томатами,"['Тыква', 'Чеснок', 'Лук репчатый', 'Молоко', 'Масло сливочное', 'Мука пшеничная', 'Сыр твердый', 'Лазанья', 'Томаты вяленые', 'Соль', 'Перец черный']","Тыкву очистить и нарезать кубиками. Лук очистить и мелко нарезать, так же поступить с чесноком. Вяленые томаты измельчить. Разогреть сковороду, влить туда масло от вяленых томатов и обжарить немного лук, чеснок, тыкву и томаты. Затем влить немного кипятка и тушить около 15 минут. Для этого рецепта я использовала листы лазаньи марки Пармалат. Жаропрочную форму смазать маслом, на дно положить две пластины лазаньи, сверху тушеные овощи. Чередовать слои: лазанья, овощи, последним слоем должна быть лазанья. Теперь приготовим соус. Для этого надо в сливочном масле пассеровать муку. Постепенно влить молоко, при этом постоянно мешать, чтобы избежать образование комков, добавить горсть сыра, посолить, поперчить и варить до загустения около минуты. Залить соусом лазанью. Посыпать оставшимся сыром и запекать в разогретой до 180*C духовке в течение 30-35 минут. Вкусно как в горячем, так и в холодном виде!!!"
"Пирожное ""Коврижка""","['Масло сливочное', 'Шоколад темный', 'Мука пшеничная', 'Какао-порошок', 'Яйцо куриное', 'Ванильный сахар', 'Корица', 'Имбирь', 'Орех мускатный', 'Кориандр', 'Разрыхлитель теста', 'Молоко сгущенное']","Плитку темного шоколада и масло сливочное растопить удобным для вас способом, но не кипятить. Сыпучие ингредиенты (мука пшеничная, какао-порошок, разрыхлитель теста, ванильный сахар, корица, мускатный орех, кориандр и имбирь) смешать в одной емкости. В шоколадно-масляную массу добавить яйцо куриное. Тщательно перемешать, немного при этом взбивая. Полученную массу соединить с сыпучей смесью и тщательно перемешать до однородной консистенции. Выложить тесто в смазанную маслом форму и выпекать в нагретой духовке до готовности (проверить лучинкой). В моей духовке нельзя выпекать в силиконовых формах, потому мне пришлось изготовить самой, если кому-то нужен совет как, то обращайтесь, помогу обязательно. Можно просто выпечь одним коржом, затем нарезать на порции. Готовые полусферки или прямоугольники, квадратики и т. п. (8 шт.) соединить количеством вареного сгущенного молока (1 ч. л. с горкой) попарно, при желании украсить глазурью. Вот такие пирожные у меня получились! Сахар в тесто не кладу совсем, т. к. для нашей семьи достаточно сладости, которую дает шоколад, сгущенное молоко и глазурь. Если любите послаще, то можно добавить 3-5 ст. л. сахарного песка. Приятного аппетита!!!"
Постная дрожжевая лепёшка,"['Мука пшеничная', 'Сахар', 'Соль', 'Дрожжи', 'Вода', 'Масло подсолнечное', 'Томаты вяленые', 'Семечки тыквенные', 'Базилик', 'Розмарин']","Делаем тесто. Муку просеиваем и добавляем к ней соль, сахар, дрожжи. Соединяем. Наливаем тёплую воду и масло подсолнечное не рафинированное. С ним лепёшка будет ярче и вкусней, чем с рафинированным маслом. Силиконовой лопаточкой замешиваем тесто и затем работаем руками. Тесто очень податливо, к рукам не пристаёт. Скатываем тесто в шар и помещаем в эмалированную посуду или посуду, смазанную маслом. Ставим в тёплое место на 30-40 минут. Вяленные томаты у меня были в пакетике, сухие. Я их порезала помельче и залила подсолнечным маслом, опять же не рафинированным. Тесто увеличилось в размере. Обминаем его и формируем из него лепёшку, прямо руками. Можно использовать скалку. Выкладываем на противень. Я использую антипригарную форму. Диаметр лепёшки примерно 20-22 см. Обмазываем верх кисточкой с подсолнечным маслом не рафинированным. Как я уже говорила, у лепёшки цвет будет ярче! Для лепёшки в принципе и всё. Иногда её я посыпаю сухой петрушкой и укропом, иногда-орегано, иногда тмином. Сегодня я на неё уложу вяленые помидоры, семечки, посыплю базиликом и розмарином сухими-такой праздничный вариант. Ставлю в разогретую духовку до т-180-200 С на 15 минут. Готова! Покрасила яйца жидкими красителями ТМ Dr. Oetker. Оказывается, что эта торговая марка ещё и их выпускает. С удовольствием попробовала. Подаём. Разлом лепёшки. Похожа на фокаччу, только фокачча делается исключительно на оливковом масле. Замечательная лепёшка! Вкусная и ароматная! Простая в исполнение! Её можно есть и просто - безо всего. Можно с супом и с салатом... и т д! С рафинированным маслом пробовала, получается бледноватая. Сделала вывод-лучше не рафинированное холодного отжима."
Кекс классический,"['Маргарин', 'Сахар', 'Кефир', 'Сода', 'Мука пшеничная', 'Ванильный сахар', 'Яйцо куриное']",Маргарин растопить Всыпать сахар и размешать Вбить яйца (вбивать по одному яйцу и перемешивать) Добавить кефир Погасить соду кефиром Добавить муку (добавлять пока тесто не будет как густая сметана) Поставить в разогретую духовку Приятного аппетита!
"Пирожки ""Малышки""","['Картофель', 'Лук репчатый', 'Масло сливочное', 'Масло растительное', 'Соль', 'Сахар', 'Дрожжи', 'Молоко', 'Мука пшеничная', 'Перец черный']","Приготовить начинку (начинка может быть любой, только обязательно густой). Нарезать лук. Лук, посолить, поперчить, добавить немножко сахарку. Обжарить на растительном масле с добавлением сливочного масла до прозрачности. Картофель почистить и отварить до готовности. Отварной картофель пюрировать, добавить жаренный лук, перемешать. Дать начинке остыть. Масло растопить и дать слегка остыть. Молоко подогреть, добавить сахар и дрожжи. Дрожжи должны разойтись. В миске соединить растопленное сливочное масло и молочно-дрожжевую смесь. Смесь должна быть теплой. Просеять муку и соль. В сливочно-дрожжевую массу постепенно добавить муку. Перемешивать ложкой. Выложить тесто на стол, припыленный мукой. Немного подмесить. Тесто готово! Оно должно быть мягким. Разделить тесто на 6 равных кусочков. Каждый кусочек раскатать в тонкий пласт (желательно прямоугольник). Разложить начинку вдоль длинной стороны теста. Свернуть в рулет и защепить края. А сейчас самое интересное - формовка!!! Руку припылить мукой. Ребром ладони делать распиливающие движение, так чтобы рулет катался под рукой. Благодаря распиливанию, края пирожков сами склеиваются. Но я все-равно краешки слегка придавливаю. Выложить пирожки на противень, застеленный пекарской бумагой. Смазывать ничем не надо. Отправить в разогретую духовку (180 градусов). Выпекать 25-30 минут. Если эти пирожки сильно не поджаривать, они будут мягкими-мягкими. А если чуть больше подержать их в духовке, они будут хрустящими. И тесто покажется - слоеным. Вот они какие внутри - мало теста и много начинки! Приятного аппетита!"
Рулет мясной с крабовыми палочками,"['Фарш мясной', 'Лук репчатый', 'Чеснок', 'Специи', 'Крабовые палочки', 'Яйцо куриное', 'Укроп', 'Сыр мягкий']","В фарш добавить специи, мелко рубленый чеснок и лук, перемешать Отварные яйца и сыр натереть на терке, укроп мелко нашинковать, все перемешать Крабовые палочки обвалять в начинке Марлю намочить в холодной воде и расстелить, на нее выложить фарш и руками выровнять толщиной 1 см Сверху выложить палочки с начинкой и свернуть в рулет, руками помочь плотно стянуть марлю Марлю аккуратно снять, это легко, фарш очень податливый Рулет выложить швом вниз на форму, где он будет запекаться с 3 ст. л. оливкового масла. На рулете сделать пальцами небольшие выемки, и отправить рулет запекаться на 20 мин при 200 градусах Приятного аппетита"
"Салат ""Калейдоскоп""","['Приправа', 'Грудка куриная', 'Перец болгарский', 'Огурец маринованный', 'Кукуруза', 'Лук красный', 'Майонез']","На лист из приправы МАГГИ выложить на одну сторону слегка отбитую грудку. Накрыть второй стороной бумаги, прижать ладонью и обжарить грудку с двух сторон на сухой сковороде по 7 минут с каждой стороны. С кукурузы слить жидкость и выложить в салатник. Добавить нарезанный мелким кубиком огурец и перец. Красный лук нашинковать как можно мельче, добавить майонез. Готовую куриную грудку нарезать маленьким кубиком. Салат перемешать. Приятного аппетита!!!"
Цветные пельмешки,"['Мука пшеничная', 'Сок', 'Сок морковный', 'Яйцо куриное', 'Фарш мясной', 'Соль', 'Чеснок', 'Лук репчатый']","Готовим два вида теста - одно из свекольного сока, яйца и муки, другое - из морковного сока, яйца и муки. Фарш - свинина, говядина, куриннный фарш, лук, чеснок, соль. Лепим из теста пельмени. Вот такие они получаются. Варим как обычно в подсоленной воде, с добавлением лаврового листа. Приятного аппетита! Дочка уплетала за обе щеки :-)"
Фриттата с рисом и овощами,"['Яйцо куриное', 'Рис', 'Помидоры черри', 'Сосиска', 'Молоко', 'Шафран', 'Зелень', 'Приправа', 'Морковь', 'Фасоль стручковая', 'Кукуруза', 'Горошек зеленый', 'Масло оливковое']","Готовим омлетную заливку: взбить яйца с молоком в блендере и добавить зелень и специи. Отварим рис по инструкции. В немного остывший рис добавим шафран, половину омлетной заливки и перемешаем. Обжариваем на оливковом масле порезанные овощи; морковь, зеленую фасоль, добавляем к ним кукурузу с горошком и специи. Шинкуем зелень и нарезаем тонкими кружочками сосиски. Разогреваем духовку до t 190 С. Достаем формочки для выпечки, у меня силиконовые, их не надо смазывать маслом. В каждую ячейку выкладываем рис. На рис кладем овощную начинку. Заливаем начинку взбитыми яйцами. Сверху раскладываем кружочки сосисек и отправляем формочки в духовку на 20-30 мин., выпекаем до золотистой корочки. Достаем из духовки формочки, немного остывают и выкладываем фриттату на блюдо. Украшаем фриттату половинками черри и подаем холодной или горячей, можно со сметаной с зеленым салатом и хрустящим хлебом. Можно завернуть в листик зеленого салата, на верх положить ложечку сметанки и наслаждаться. Приятного аппетита!"
Пасхальный кулич с творогом,"['Молоко', 'Дрожжи', 'Сахар', 'Мука пшеничная', 'Яйцо куриное', 'Желток яичный', 'Ванильный сахар', 'Творог', 'Йогурт', 'Маргарин', 'Соль', 'Масло растительное', 'Крахмал кукурузный', 'Белок яичный', 'Сахарная пудра', 'Сок лимонный', 'Посыпка кондитерская', 'Изюм', 'Ром', 'Цедра апельсина']","Готовим опару. Дрожжи размять на небольшие кусочки. Влить теплое молоко, добавить сахар, перемешать. Добавить муку. Замесить жидкое тесто и оставить в тепле, чтобы опара поднялась. Изюм залить ромом. Добавить цедру апельсина, перемешать. В миску для замеса теста выложить творог, йогурт, добавить соль, влить растопленный маргарин и все перемешать. Через 45мин. опара готова, добавить ее в миску для замеса. Яйца взбить вилкой и добавить в миску. Добавить немного муки, всыпать сахар, начать замес теста с помощью лопатки. Муку (278г) вводить частями, тесто липкое, с лопатки не должно падать. Ром от изюма слить в тесто. В изюм добавить муку и крахмал, перемешать и добавить в тесто. Изюм перемешать с тестом, на край теста добавить растительное масло и хорошо вымесить тесто лопаткой. Миску закрыть крышкой и убрать в теплое место на 1-1,5часа. Через 80 мин. тесто подошло. Рабочую поверхность обильно присыпать мукой, тесто брать частями и нежно обвалять в муке, помогая скребком, сформировать шар, по размеру как вам нужно для вашей формы. Формы смазать маслом. Тесто должно занимать примерно треть формы, закрыть пленкой и убрать в теплое место для подъема. Если брать теста больше, структура готового изделия будет плотнее. Я провела эксперимент и взяла теста 1/4 большой формы. Из остального теста я решила сделать мини-куличи в силиконых формах для маффинов. Здесь теста взяла правильно- треть формы. Накрыть их пленкой (ее обильно припылить мукой) и убрать в теплое место. Подошеднее тесто можно смазать взбитым яйцом (это не обязательно), делать очень аккуратно, чтобы не потревожить тесто. Печь в разогретой духовки до 180С большие формы 30-40 мин., маленькие 15-20мин., готовность проверить деревяной спицей. Следите за своей духовкой. Если тесто начнет пригорать, закройте форму фольгой и продолжить выпечку. Остудить в формах. Большие формы повернуть на бок. Готовим глазурь-мокрое безе. Белки взбить в небольшую пену, добавить лимонный сок и частями сахарную пудру, продолжаем взбивать. Миску с белками выставить на кипящую воду, следите, чтобы миска не касалась воды. Взбить до пиков 2-3мин. Глазурь, приготовленная таким способом, не превращается в сухую корку, остается влажной. Остывшие куличи вынуть из форм, покрыть белковой глазурью. Светлой Пасхи!!! Гармонии, любви, семейного уюта и счастья!!! Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме - http://forum.povarenok.ru/viewtopic.php?f=34&t=6828"
Салат с морской капустой,"['Перец болгарский', 'Тыква', 'Капуста морская', 'Зелень', 'Хлебцы']","Перец нарезать на полосочки. Тыкву натереть на крупной тёрке. Залить рассолом от морской капусты. Я всегда беру такую, где рассол состоит из воды, растительного масла, сахара и соли. Оставить минимум на 2 часа. Поставить в холодильник. Я это делаю в основном утром, а вечером ( или днём) у меня уже вкусный салат. Слить лишнюю жидкость. Добавить морскую капусту. Добавить нарезанную зелень. Подавать с хлебцами. Приятного аппетита."
Бисквитик к чайку,"['Яйцо куриное', 'Сахар', 'Мука пшеничная', 'Разрыхлитель теста', 'Молоко', 'Орех мускатный', 'Ванильный сахар', 'Масло сливочное', 'Орехи грецкие']","Яйца взбиваем с сахаром, чтобы масса увеличилась в 3 -4 раза, затем добавить разрыхлитель и дать постоять 5 мин., а затем взбиваем еще минут 5 -10 и вводим пpосеянную муку, медленно помешивая деревянной ложкой в одном направлении. Тесто готово. Форму для выпечки смазать маслом сливочным и вылить тесто в форму, выпекать до готовности. Готовность проверять спичкой. Готовый корж остудить и разрезать на два. Смазываем кремом, а сверху посыпать орешками и еще смазать кремом, сверху кладем второй корж и смазываем кремом верх и бока, верх тоже посыпала орешками. Крем: яйца и сахар перемешать, добавить муку и, постоянно помешивая, влить молоко, а затем ставим на медленный огонь и варим до загустения, добавляя ванильный сахар и мускатный орех. Готовый крем остудить, а затем добавить масло и все взбить."
Суп вермишелевый,"['Лук репчатый', 'Морковь', 'Картофель', 'Вермишель', 'Масло растительное', 'Бульон', 'Соль', 'Перец черный', 'Лист лавровый']","Нарезать кубиками овощи: лук, морковь, картофель. В кастрюлю, в которой будет вариться суп, налить растительное масло и обжарить нарезанные овощи в течение 5 минут. Добавить 2 литра бульона. Если хотите приготовить постный суп, можно просто добавить воду. Результат будет не хуже. Добавить специи: соль, перец, лавровый лист. Все тщательно перемешать и варить около 15 минут после закипания на среднем огне. Добавить вермишель и варить еще около 10 минут. Суп готов! Приятного аппетита!"
Ирландский крекер,"['Бекон', 'Лук репчатый', 'Чеснок', 'Орехи грецкие', 'Сметана', 'Масло оливковое', 'Грибы', 'Соль', 'Перец белый', 'Крекер', 'Чечевица']","Приготовлю все продукты. Чечевицу ставлю варить на 30 минут. Отваренную чечевицу оставить остывать, а пока займусь грибами. Из грибов удалим ножку и ВНИМАНИЕ! сделаем врез на шляпке, чтобы она устойчиво стояла на крекере. Налью 3 ст. ложки масла на сковороду, положу давленый чеснок, как только он отдаст аромат, его вынимаем и выкидываем. Кладем лук, его сразу посыпаем черным перцем для аромата, обжариваем. Добавляем бекон, немного обжариваем и кладем чечевицу. Перемешиваем. Добавляю сметану, солю. Кладу орешки. Немного орехов оставьте на украшение готовой закуски. Немного укропа, и готовой начинкой фарширую шляпки грибов. Грибы запекаются в духовке при 200 градусах 12- 15 минут. Для приготовления грибного соуса налить на сковороду немного оливкового масла, положить мелко порезанный лук (оставшуюся половинку от луковицы). Немного обжарить и добавить порезанные ножки грибов, обжарить, добавить сметану и соль, как только соус загустеет - снять. Измельчить в блендере. Соус готов. Теперь можно собирать закуску. Беру тарелку, на которой буду подавать, и присыпаю её укропом, можно положить орешки. На крекеры кладу немного грибного соуса. Выкладываю шляпки шампиньонов. На них еще немного соуса. Положить орешки и присыпать зеленью. Приятного аппетита!"
Курица с рулетиками в духовке,"['Курица', 'Майонез', 'Чеснок', 'Соль', 'Перец черный', 'Мука пшеничная', 'Вода', 'Лук репчатый', 'Масло сливочное']","Подготовим продукты. Включим духовку на 200-220 градусов, разогреваться. Курицу разделаем на куски, посолим, поперчим, добавим майонез. Чеснок натрем на терке или выдавим через пресс туда же. Перемешаем и отставим мариноваться. Обычно хватает 20 мин. Из воды, соли и муки замесим тугое тесто. Девочки, в раскладке даю примерное кол-во ингредиентов, потому что сама все давно делаю на глаз. Готовое тесто отправим отдохнуть. Пока тесто отдыхает, чистим и мелко режем лук. Я в этот раз попробовала измельчить лук блендером, не понравилось. Весь сок стек. Лучше ножом. Наше тесто отдохнуло, делим его на несколько частей, у меня получилось 4. Правда, использовала только 2. Часть теста тонко раскатываем, смазываем сл. маслом, выкладываем часть лука, солим, перчим и сворачиваем рулет. Режем рулет на части. На противень выкладываем курицу, перемежая рулетиками. Сверху рулетики смазываем оставшимся от курицы майонезом. Они не должны лежать очень плотно друг к другу. Но и не редко. Чтобы не осталось лишних рулетиков, не поместившихся на противень, я сначала выкладываю курицу, а потом по мере скручивания, и разрезания, рулетики. Ставим в разогретую духовку на 45-50 мин. Когда курица готова, выкладываем на блюдо и зовем семью к столу. Приятного аппетита!!!"
Картофельный салат по-американски,"['Картофель', 'Яблоко', 'Сельдерей черешковый', 'Тунец', 'Майонез', 'Лук красный']","Все составляющие салата режем кубиком, тунца разминаем вилочкой Перемешать, заправить майонезом и выложить в салатник. По желанию украсить зеленью."
"Пельмени в горшочке ""Амур""","['Пельмени', 'Печень говяжья', 'Морковь', 'Лук белый', 'Соль', 'Приправа', 'Майонез', 'Масло растительное']","Печень моем, очищаем от пленки и режем тоненькой соломкой (лучше всего брать слегка подмороженную, тогда легче режется) Лук режем кубиками Морковь трем на средней терке На хорошо разогретой сковороде на растительном масле обжариваем печень Добавляем лук Добавляем морковь, все обжариваем, перемешиваем Отвариваем пельмени Готовые пельмени раскладываем по горшочкам В горшочки добавляем обжарку Заливаем в горшочки бульон, в котором варились пельмени. Добавляем по вкусу соль, приправу и майонез Закрываем горшочки крышкой и ставим в духовку на 15-20 минут при температуре 180 градусов. Приятного аппетита!"
Ложная жареная рыба,"['Курица', 'Капуста белокочанная', 'Яйцо куриное', 'Сухари панировочные', 'Соль', 'Перец черный', 'Чеснок', 'Масло подсолнечное']","Курицу (можно заменить куриными окорочками) отварить, при этом посолив. Мясо разделать, отделить от костей и разделить на небольшие кусочки. Поперчить, добавить выдавленный через чеснокодавку чеснок и хорошо перемешать. Разобрать капусту на листья обычным способом. Утолщённые места срезать или отбить молоточком. В подсоленную кипящую воду опустить листья и на среднем огне довести до готовности. Вытаскивать листья нужно осторожно, чтобы не порвать (лучше шумовкой). Два яйца взбить, подготовить панировочные сухари. В серединку каждого листа капусты положить мясо, завернуть конвертиком. Обмакнуть сначала в яйце, потом в сухарях. Обжарить на подсолнечном масле с обоих сторон до золотистого цвета. На жареное филе рыбки похоже, не правда ли? Приятного аппетита! В разрезе..."
Любимые баклажаны по рецепту мамули,"['Баклажан', 'Помидор', 'Морковь', 'Лук репчатый', 'Перец сладкий', 'Чеснок', 'Соль', 'Масло растительное']","Подготовить овощи. Баклажаны нарезать полосками, пересыпать солью и оставить на 15 минут (для удаления горечи кожицы). Промыть баклажаны водой и обсушить полотенцем. .. Нарезать баклажаны кубиками и обжарить на растительном масле. Лук и морковь нарезать кубиками и обжарить. Сладкий перец освободить от плодоножки, очистить от семян, нарезать маленькими полосками и пассеровать с луком и морковью. Пассерованные овощи соединить с баклажанами, убавить огонь и продолжать тушить. Надрезать ""попки"" помидор крест-накрест, обдать кипятком, снять кожицу, нарезать кубиками и обжарить вместе с нарезанными вдоль на полоски зубчиками чеснока. Добавить томатно-чесночную смесь в баклажаны, перемешать, посолить и продолжать тушить под крышкой еще около 5-10 минут. Такое рагу подойдет как на гарнир так и на закуску. Подается как в холодном так и в горячем виде. Очень вкусно со сметанкой и зеленью. Приятного аппетита!"
Мусс из ягод,"['Ягода', 'Сахар', 'Желатин']","СВЕЖИЕ ИЛИ ЗАМОРОЖЕННЫЕ ЯГОДЫ ПЕРЕБРАТЬ И ПРОМЫТЬ В ХОЛОДНОЙ ВОДЕ. РАЗМЯТЬ ЛОЖКОЙ И ПРОТЕРЕТЬ СКВОЗЬ СИТО. ВЫЖИМКИ ОТ ЯГОД ЗАЛИТЬ 2 СТАКАНАМИ ВОДЫ ГОРЯЧЕЙ, ВСКИПЯТИТЬ И ПРОЦЕДИТЬ. В ПОЛУЧЕННЫЙ СОК ПОЛОЖИТЬ САХАР И ПРЕДВАРИТЕЛЬНО РАЗВЕДЕННЫЙ ЖЕЛАТИН. ПОМЕШИВАЯ ДОВЕСТИ СИРОП ДО КИПЕНИЯ. В ОХЛАЖДЕННЫЙ СИРОП ВЫЛОЖИТЬ ЯГОДНОЕ ПЮРЕ И ВЗБИТЬ ДО ОБРАЗОВАНИЯ ОДНОРОДНОЙ МАССЫ. КАК ТОЛЬКО МАССА ЗАГУСТЕЕТ ВЫЛОЖИТЬ ЕЕ В ФОРМЫ И ОХЛАДИТЬ. НА 1 СТАКАН ЯГОД 3 /4 СТАКАНА САХАРА. 15 Г ЖЕЛАТИНА."
Голубцы с айвой по-Бакински,"['Фарш мясной', 'Рис', 'Айва', 'Лук репчатый', 'Зелень', 'Капуста белокочанная', 'Бульон', 'Перец черный', 'Соль', 'Сахар']","Подготовить продукты. Рис отварить, остудить. Зелень мелко нарезать. Лук репчатый нарезать мелко или измельчить в блендере. Добавить в фарш специи и подготовленные ингредиенты. Хорошо размешать. Айву разрезать на дольки. Капусту разделить на листья (кому как удобно). Я немного отвариваю в воде и потом снимаю с кочана. Мясо укладываем на капустный лист и сворачиваем конвертом. Укладываем в глубокую кастрюлю поочередно с дольками айвы. Добавляем немного мясного бульона и на средний огонь на 30-40 мин. (Если готовите в посуде Цептер или IGOOK, бульон добавлять не надо, через 5 минут сок образуется сам). Готовое блюдо имеет приятный аромат айвы. Блюдо подается со сметаной. Очень вкусно! Приятного аппетита!"
Тушенка из птиц,"['Утка', 'Соль', 'Перец черный', 'Лист лавровый', 'Вода']","Ошпаренную тушку утки (курицы) тщательно очистить от перьев, колодок. Разделить на небольшие куски (внутренний жир выложить отдельно). Вымыть кусочки, просушить бумажным полотенцем. В стерильные литровые баночки на дно выкладываем 2 средних (или 1 большой) лавровый листочек, 5-8 горошин чёрного перца. Мясо солим из расчета 1 ч. ложка соли на 1 кг мяса. Наполняю банки кусками, в одну - мясные кусочки, в другую - крылья, желудки, лапки, голова. В тушенку идёт всё, кроме печени. Жир измельчаю и докладываю им баночки до ""плечей"". Долить на 3/4 кипяченой водой. Горлышко банки плотно укупорить фольгой, сложенной в несколько раз. Банки поставить в небольшую сковородку или кастрюлю (на случай аварии). Сковородку с банками поставить в холодную духовку на нижний уровень. Температуру выставить на 180°С и тушить 3 часа. Банки закрыть герметически машинкой для закатывания и поставить крышкой вниз до полного охлаждения (крышки должны быть простерилизованы). Из тушенки можно быстро приготовить как первые, так и вторые блюда."
Панкейки с яблочно-коричным гарниром,"['Мука пшеничная', 'Мука овсяная', 'Мука цельнозерновая', 'Сок яблочный', 'Яйцо куриное', 'Масло сливочное', 'Сахар коричневый', 'Разрыхлитель теста', 'Корица', 'Орех мускатный', 'Соль', 'Сок лимонный', 'Яблоко', 'Масло растительное', 'Сироп кленовый']","Продукты, которые нам необходимы Приготовим яблочно-коричный гарнир. Яблоки очищаем от кожуры и семечек и нарезаем на ломтики. Выкладываем яблочные ломтики в кастрюлю, добавляем яблочный и лимонный соки и перемешиваем. Ставим кастрюлю на небольшой огонь и готовим под крышкой на среднем огне около 7 минут. Далее добавляем сахар, огонь уменьшаем и готовим до тех пор, пока сок не загустеет и яблоки не станут мягкими, приблизительно 10 минут (без крышки). В конце добавляем корицу. Пока готовится гарнир, мы приготовим тесто для наших блинчиков. В миску просеиваем три вида муки и разрыхлитель, затем добавляем сахар, корицу, мускатный орех и соль. Все перемешиваем. В центре делаем углубление и добавляем яйцо и яблочный сок, затем добавляем растопленное сливочное масло. Хорошенько перемешиваем. Готовое тесто должно быть как сметана. Сковороду хорошо разогреваем и чуть смазываем растительным маслом. Столовой ложкой наливаем тесто и жарим блинчики с каждой стороны до румяного цвета. Готовые блинчики подаем теплыми с яблочно-коричным гарниром и кленовым сиропом. Приятного аппетита!"
"Торт-желе ""ассорти""","['Кефир', 'Желатин', 'Желе', 'Изюм', 'Курага', 'Вишня']","Развести все 3 вида желе, каждое в отдельной посуде, дать им застыть. Отдельно развести желатин, смешать его с кефиром, запарить изюм с курагой, курагу порезать мелкими кусочками. Застывшее желе вынуть из посуды и нарезать крупными кубиками, перемешать. Все это выложить в глубокую посуду, залить приготовленным заранее кефиром с желатином. Дать постоять в холодильнике 45 минут. Затем посуду с желе опустить в горячую воду на 2 сек. и перевернуть, выложив на красивое блюдо, украсить вишенкой."
Бананово-финиковый кекс,"['Мука рисовая', 'Масло сливочное', 'Яйцо куриное', 'Финик', 'Банан', 'Орехи грецкие', 'Шоколад белый', 'Сливки', 'Разрыхлитель теста', 'Масло растительное']","Банан очистить и пюрировать любым удобным способом – вилкой, блендером, пестиком. Ядра грецкого ореха порубить ножом. Не мельчить! Из фиников удалить косточки и нарезать не крупными кусочками. В миску просеять рисовую муку, это может быть и пшеничная мука, не критично. Добавить разрыхлитель теста, всё перемешать. В мучную смесь выложить орехи и финики, ещё раз хорошенько всё перемешать. Добавить яйца, банановое пюре, размягчённое сливочное масло кусочками или растительное без запаха. Перемешать лопаткой до получения однородной массы. Формочки смазать растительным маслом, выложить в них тесто, без горки. У меня получилось наполнить одну форму на шесть посадочных мест и дополнительно три формочки. Выпекать в разогретой до 180*С духовке, до сухой лучинки. Мне понадобилось 25 минут. Пока кекс выпекается, приготовить соус, для чего в кастрюле нагревать на медленном огне сливки и поломанный на кусочки белый шоколад, до полного растворения последнего. Остывшие кексы вынуть из формочек, подавать на порционных тарелках, полив соусом и украсив по своему усмотрению. Я усмотрела необходимость украсить прозрачными дольками лайма и его же цедрой. Кстати, агрессивный вкус и аромат этого цитруса как нельзя лучше подчеркнули вкус самого кекса. Достойная альтернатива соусу - глазурь. 50 г сахарной пудры растереть со столовой ложкой сока лимона или лайма (сок лучше добавить в 2-3 приёма) до консистенции густой сметаны. Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме: http://forum.povarenok.ru/viewtopic.php?t=4516"
