name,ingredients,text
"Индийские лепешки ""Чапати""","['Мука пшеничная', 'Вода', 'Соль', 'Масло сливочное']","Приготовьте необходимые нам ингредиенты - муку, соль (можно не добавлять), воду (или сыворотку) и сливочное масло для смазывания лепёшек. Заместите густое тесто. Думайте о чём-нибудь хорошем, когда месите тесто, или читайте вашу любимую молитву - удивительно, но это очень сильно отражается на вкусе лепёшек. Накройте тесто полотенцем и оставьте его на 30 минут. За это время тесто как бы дозреет. Смочите руки любым растительным маслом, обваляйте тесто в муке и ещё раз хорошенько его замесите. Разделите готовое тесто на равные кусочки, размером с небольшое яйцо, и скатайте их в шарики. Расплющите каждый шарик в лепёшку и обваляйте его в муке. Раскатайте тонкую лепёшку И жарьте (подсушивайте) на сухой (без масла) сковороде до светло-коричневых пятнышек. Лепёшка должна пузыриться и раздуваться. Переверните лепёшку на другую сторону и жарьте до готовности. Обычно на приготовление одной лепёшки уходит 2-4 минуты. Смажьте готовые лепёшки сливочным маслом и подавайте горячими. Будьте счастливы и здоровы! Приятного аппетита! Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме: http://forum.povarenok.ru/viewtopic.php?t=3776&postdays=0&postorder=asc&start=0"
Рыба «Красное и белое»,"['Горбуша', 'Зубатка', 'Перец болгарский', 'Лук репчатый', 'Мак', 'Специи', 'Соевый соус', 'Масло растительное', 'Чеснок']","Можно использовать любую рыбу на Ваш вкус. Сегодня у меня филе горбушы и зубатки. Рыбу филируем. Поскольку зубатка очень нежная рыба, я ее не перемалывала, она у меня тонкими полосочками. Фарш солим, перчим. Соус, масло и порубленный чеснок смешиваем. Филе зубатки можно замариновать в полученном соусе. Овощи нарезать кольцами 2 см шириной. Перец внутри очистить от белых волокон. Лук выдавить серединки, оставив 3-4 кольца целыми. На силиконовый коврик выкладываем кольца овощей, и наполняем начинкой. Тут можно схитрить- в крупные кольца перца я ставила маленькие колечки лука, и заполняла фарш в них (например горбушу внутрь колечка, зубатку вокруг). Запекаем в разогретой до 200 гр. духовке 20 минут. Достаём, поливаем соусом. Посыпаем маком, кунжутом, льняным семенем (если используете). Уменьшаем температуру до 180. Запекаем ещё 10 минут. После чего выключаем духовку, оставляем на 10 минут. Приятного аппетита!!!"
"Закуска ""Рафаэлло крабовое""","['Крабовые палочки', 'Сыр мягкий', 'Маслины', 'Сыр голландский']","Разобрать палочки на красное и белое мясо, мелко нарубить. Сыр натереть на мелкой тёрке. Красную часть перемешать с натертым твёрдым сыром и сливочным крем-сыром. Сформировать небольшие шарики. В середину каждого положить маслину без косточки. Шарики обвалять в нарубленной белой части крабовых палочек."
"Салат ""Огни Большого Города""","['Масло оливковое', 'Вино белое сухое', 'Креветки', 'Листья салата', 'Огурец', 'Финик', 'Мандарин', 'Сметана', 'Сыр твердый', 'Чеснок', 'Соль', 'Лайм', 'Зелень']","Для заправки смешать сметану, сыр, очень мелко нарезанный чеснок, лук, укроп. Посолить и поперчить по вкусу. Креветки потушить 5 минут в масле с чесноком и вином. В прозрачную посуду (у меня нашлись только коньячные бокалы) выкладывать слоями: -нарезанный салат -креветки без жидкости -мелко нарезанный огурец, слегка подсолить -нарезанные финики -дольки мандаринов или других цитрусовых выдавить на салат лимонный сок (или сок лайма) по 1 ч.л. примерно, сверху в середину выложить заправку, на нее кусочки лайма с сахаром украсить креветками, дольками карамболы или лимона (необязательно). При поедании смешиваем салат с заправкой. К салату хорошо подходит сухое белое вино - неплохой легкий ужин (и можно даже при свечах)."
"Чашка каппучино ""Сладкая причина""","['Кофе натуральный', 'Молоко', 'Сливки', 'Ванилин', 'Сахар']","Итак, кофе перемалываем на ручной меленке (можно в электрической кофемолке, но, говорят, на энергетику и вкус напитка влияет, если перемалываешь его вручную). Пересыпаем смолотый кофе в турочку. Заливаем молоком до половины турки, так как молоко сильно и быстро увеличивается в объемах, может ""убежать"". Добавляем чайную ложку сахара и чуть ванилина. На горячей плите доводим кофе почти до кипения, как только молоко увеличилось в полтора раза, очень оперативно его снимаем. Наливать каппучино лучше в низкие широкие чашки. Сверху украшаем наш напиток взбитыми сливками. Наслаждаемся :D :D :D В перспективе - научиться сверху рисовать ""елочку"" :) Может кто умеет, подскажет? :wink: :wink:"
"Салат ""Винегретная фантазия""","['Картофель', 'Свекла', 'Фасоль', 'Огурец', 'Морковь', 'Майонез', 'Горчица', 'Лук репчатый']","Овощи, которые понадобятся. Картофель, морковь, свеклу, огурцы трем на терке. Лук режем мелкими кубиками. Добавляем фасоль, майонез, горчицу. Вымешиваем и выкладываем в салатник. ПРИЯТНОГО АППЕТИТА!!!"
Булочки-пирожные,"['Мука пшеничная', 'Разрыхлитель теста', 'Масло сливочное', 'Сметана', 'Ванильный сахар', 'Соль', 'Сахар', 'Яблоко', 'Сок лимонный', 'Корица', 'Яйцо куриное']","Итак, приступим... В просеянную муку добавим разрыхлитель, перемешаем. В глубокую миску выльем растопленное сливочное масло, добавляем сметану, ванильный сахар, соль, сто грамм сахара и хорошенько перемешаем. Затем в миску добавляем муку и замешиваем тесто. Месим минут пять, не больше. Тесто кладём на пищевую плёнку, заворачиваем и отправляем в морозилку на 30-40 минут. Пока тесто прохлаждается в морозилке, займёмся яблоками. Очищаем от кожуры, разрезаем пополам, удаляем всё лишнее и ненужное, сбрызгиваем лимонным соком, перемешиваем и отставляем. Отдельно хочется сказать о маленьком, чёрном кухонном гаджете, лежащем рядышком... Эта овощечистка у меня уже лет пятнадцать, настоящая немецкая и что я ей только не чистил, всякие мыслимые и немыслимые вещи - она совершенно неубиваемая, только чуть-чуть на лезвии стёрлась краска... Глядя на такие вещи так и хочется произнести речь-слоган: ""Дорогие товарищи, покупайте качественные кухонные принадлежности, они не только станут незаменимыми помощниками на многие-многие годы, но и продлят Вам жизнь, принося радость и умиротворение при приготовлении пищи!!!""... Через полчаса достаём из морозилки тесто, делим на двадцать одинаковых кусочков и скатываем их в колобки. Сейчас на улице жарко, тесто с большим количеством масла и быстро размягчается, из-за чего с ним становится не комфортно работать, по этому я перекладываю колобки в большую тарелку и отправляю в холодильник, доставая по мере надобности... Далее колобок раскатываем толщиной примерно 2-3 мм, диаметром примерно сантиметров 13-15, кладём половинку яблока срезом вверх, собираем тесто в верху и защипываем. Должно получится примерно так... Кладём на противень, застеленный пергаментной бумагой, срезом вниз. Получается примерно два противня вкусняшки... Включаем на разогрев духовку и нагреваем до 180 градусов. Яйца вбиваем в мисочку, перемешиваем. В сахар добавляем корицу и тоже хорошо перемешиваем. Затем берём поочерёдно каждую заготовку и опускаем верхнюю, выпуклую часть в яйцо и затем в сахар с корицей. Так проделываем со всеми. Отправляем в разогретую духовку примерно на 35 минут. У меня духовка электрическая, я включаю режим ""нижний нагрев + вентилятор"" и отправляю сразу два противня на 30 минут на нижний и средний уровни. Через тридцать минут у меня получаются вот такие булочки-пирожные. Выкладываю на решётку, сдерживаюсь чтобы тут же на них не накинуться и даю полностью остыть... Пирожных получается много, две больших тарелки, но они разлетаются моментально и мой совет - не делайте пол нормы, потом пожалеете... Мягкие, нежные, вкусные..., аромат корицы сводит с ума... Яблоко волшебным образом превращается в нежное кисло-сладкое пюре - просто объедение... Всем приятного наслажденья и аппетита!!!"
Гречка с грибами портабелла или шампиньонами,"['Крупа гречневая', 'Шампиньоны', 'Лук репчатый', 'Масло оливковое', 'Перец красный жгучий', 'Соль', 'Тимьян']","Берем грибы портобелло или шампиньоны Нарезаем вдоль ножки на немелкие куски. Крупные грибы на 6 частей, более мелкие на 4 Лук нарезаем четверть кольцами Выкладываем грибы и лук на кусок пекарской бумаги. Солим, добавляем тимьян и масло. Перемешиваем руками. Заворачиваем ""конфеткой"" и ставим в микроволновку на 3 минуты Отварную гречку выкладываем на тарелку, солим по вкусу и подогреваем в микроволновке (если она холодная). Заправляем оливковым маслом (или сливочным, предварительно растопленным) и перемешиваем. Отрезаем два ломтика перца хабаньеро (очень жгучий) и мелко нарезаем. Добавляем в гречку и перемешиваем. Этот шаг - по желанию. Если вы не любите острого - можно пропустить. Добавляем грибы в тарелку с гречкой и подаем. Приятного аппетита!"
Горбуша с баклажанами по-китайски,"['Горбуша', 'Баклажан', 'Лук репчатый', 'Чеснок', 'Имбирь', 'Перец чили', 'Масло растительное', 'Перец сычуаньский', 'Перец черный', 'Кинза', 'Вино рисовое', 'Уксус', 'Соевый соус', 'Сахар', 'Соль']","Баклажаны моем, режем кубиками и обильно засыпаем солью. Отставляем, чтобы вышла горечь. Для приготовления можно использовать любую рыбу лососёвых пород. Я брала горбушу. Рыбу чистим и разрезаем на стейки. Посыпаем солью и смесью перцев. В сковороду наливаем 1 ст. ложку растительного масла, нагреваем, кладём стейки и обжариваем на сильном огне по 2-3 минуты с каждой стороны. Убираем рыбу на тарелку, сковороду моем. Баклажаны промываем под проточной водой, отжимаем, можно обсушить бумажным полотенцем. На сковороду наливаем растительное масло (2 ст. ложки), кладём баклажаны, жарим помешивая 10 минут. Берём лук, чеснок, имбирь, перец чили; моем, чистим и всё мелко нарезаем. Добавляем к баклажанам порезанные лук, чеснок, имбирь и перец чили. Перемешиваем, тушим 3 минуты. Добавляем рисовое вино (можно белое сухое), рисовый уксус, соевый соус и сахар (можно сладкий соевый соус). Всё перемешиваем, тушим 2 минуты. Добавляем мелкопорезанную кинзу. Перемешиваем. Кладём сверху жареную рыбу, отключаем огонь, даём рыбе прогреться 5 минут, крышку не закрываем. Подаём рыбу на сковороде горячей. Приятного аппетита!"
Курочка в индийском стиле,"['Голень куриная', 'Йогурт', 'Лук репчатый', 'Лук красный', 'Сок лимонный', 'Чеснок', 'Паприка сладкая', 'Соль', 'Перец черный', 'Имбирь', 'Корица', 'Гвоздика', 'Кардамон', 'Кумин', 'Кориандр', 'Перец чили']","Вот наши продукты. Корень имбиря и репчатый лук чистим и трём на тёрке. Чеснок пропускаем через пресс. Добавляем йогурт и все наши специи. Хорошо перемешиваем. Голень промыть и опустить в наш маринад часа на 3. Но чем дольше, тем, конечно же, лучше. Форму для выпекания смазываем маслом и выкладываем кольца красного лука. Сверху на лук кладем голень. И выпекаем в разогретой духовке до 200 гр. 40 мин. Представляете, какой аромат?!"
Цельнозерновой хлеб на закваске для ХП,"['Мука цельнозерновая', 'Вода', 'Закваска', 'Соль', 'Сахар', 'Масло сливочное', 'Масло подсолнечное']","Сначала делаем опару. В прозрачную посуду выкладываем 10 г закваски ( моей пшеничной закваске полгода, подкармливаю 1 раз в неделю 1:1:1, храню в холодильнике ) и 110 г воды (воду заранее следует налить в ёмкость из под крана и дать ей отстояться 8-10 часов, фильтрованную и кипяченую воду не использовать.), перемешиваем и добавляем 105 г муки (можно использовать обычную пшеничную цельнозерновую муку, а также отличный хлебушек получается из цельнозерновой муки спельты). Муку необходимо просеять. Тщательно вымешиваем ложкой, закрываем крышкой (у меня с отверстиями) и оставляем в комнате на ночь (Желательная температура при брожении опары 20-22 градуса) Примерно так она выглядит утром. Теперь делаем тесто. Для этого берем нашу опару,240 г воды и 375 г муки, ложкой перемешиваем до однородного состояния в течении минуты, накрываем и оставляем на 15 мин (аутолиз-для усиления клейковины) Теперь добавляем соль, сахар и масло, вымешиваем примерно в течении минуты рукой, не выкладывая на стол. Переладываем тесто в пакет или пластиковую коробку и оставляем в холодильнике (внизу, там где храним овощи ) на 8-10 часов ( Теперь вы можете спокойно уйти на работу, не боясь, что тесто перестоит-в холоде этого не случится!). При низких температурах молочно-кислое брожение слегка угнетается, а дрожжи плодятся и размножаются, поэтому хлебушек получается не кислым. Вот так тесто выглядит после холодильника! Теперь выворачиваем пакет над ведерком х/п и влажной рукой слегка помогаем ему попасть в ведерко. Включаем режим ""тесто"" (моя х/п 20 мин вымешивает, потом 20 мин подьём, затем короткий замес и потом второй подьем в течении 50 мин ). Не открывая крышку оставляем тесто в покое еще на 90 мин и затем включаем режим ""выпечка"" Вот какой хлебушек у нас получился! В заключении хочу остановиться на одном из полезных свойств хлеба на закваске. В оболочке зерен злаков содержится природный консервант_фитиновая кислота, которая блокирует усвоение многих важных микроэлементов (железо, кальций, цинк и т. д. ). К счастью под воздействием фитазы (фермента, который активизируется при продолжительной ферментации теста на закваске )фитиновая кислота разрушается. ПРИЯТНОГО АППЕТИТА!!!"
Трюфеля шоколадные,"['Шоколад молочный', 'Сливки', 'Масло сливочное', 'Какао-порошок', 'Миндаль']","1. Сливочное масло растопить в месте с шоколадом на водяной бане до однородной массы, слить сливки и остудить до консистенции густой сметаны. 2. Миндальный орех обжарить и перемолоть в блендере. 3. Шоколадную массу, переложить в кондитерский мешок и выдавливать на латок предварительно обмотанный фольгой, не большими порциями. 4. Трюфеля посыпать 1 /2 часть орехами, а вторую часть какао. 5. Заморозит на час, вытащить из морозилки и поставить в холодильник. BASTA!!!"
"Грушевый пирог ""Фантазия""","['Груша', 'Печенье', 'Масло сливочное', 'Яйцо куриное', 'Сахар', 'Ванилин', 'Орехи', 'Смородина черная', 'Крахмал', 'Мука пшеничная', 'Разрыхлитель теста', 'Кефир', 'Сок', 'Корица', 'Сахарная пудра', 'Шоколад темный']","Сок смешать с кефиром. Разъемную форму застелить бумагой, смазать маслом (дно и бортики) и посыпать дно печеньем. Груши очистить от кожуры и серединки, нарезать на 4 части и выложить в форму. Посыпать шоколадом (порезать ножом или натереть на терке) и молотым мускатным орехом. Смешать желтки, кефир, сок, ванилин, 1/2 стакана сахара, масло. Добавить муку, разрыхлитель и крахмал, хорошо перемешать (тесто получится жидковатым). Залить груши тестом. Взбить 1/2 стакана сахара с белками в крепкую пену. Смешать черную смородину с 3 столовыми ложками белковой массы. Выложить аккуратно слоем (по середине пирога) смородиново-белковую массу, а по краю - просто белковую. Выпекать в разогретой до 180С духовке 40-45 минут, украсить сахарной пудрой, корицей и тертым шоколадом. Дать немного остыть...нарезать на кусочки... Приятного аппетита! :)"
"Горячие бутерброды ""Сытные""","['Хлеб', 'Яйцо куриное', 'Огурец соленый', 'Майонез', 'Котлета', 'Масло сливочное', 'Сыр твердый', 'Лук зеленый']","Отварные яйца мелко нарезать. Солёные огурцы также нарезать мелким кубиком. В миске соединить яйца, огурцы и майонез. При необходимости посолить, поперчить. Хлеб смазать сливочным маслом. На хлеб выложить котлеты. Можно также вместо котлет взять отбивные, колбасу вареную или любительскую. Сверху котлет выложить яично-огуречную массу. Посыпать сверху натертым на мелкую терку сыром. Поставить в разогретую до 200 градусов духовку на 7 минут, до расплавления сыра. Готовые бутерброды посыпать мелко нарезанным зелёным луком. Кушать лучше тёплыми. Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме - http://forum.povarenok.ru/viewtopic.php?f=34&t=6843"
Гренки по-новому,"['Сливки', 'Хлеб', 'Яйцо куриное', 'Сыр сливочный', 'Сироп фруктовый', 'Банан', 'Корица', 'Сахарная пудра', 'Орехи']","Приготовить заливку. В чаше соедините яйца, сливки, творожно-сливочный сыр, добавьте фруктовый сироп (у меня вишневый). Взбейте массу до однородности. Хлеб (лучше всего использовать хлеб для тостов) нарезать в форме треугольника. У каждого кусочка слегка подрезать уголки. Бананы помыть, почистить и нарезать крупными слайсами. Уложить хлеб и бананы в форму для выпечки, чередуя их между собой: хлеб, бананы, снова хлеб и т. д. Затем аккуратно влить заливку. Дать постоять 10 минут, чтобы хлеб впитал заливку. Посыпать хлеб корицей и орехами. Отправить форму с хлебом в разогретую духовку (180°С). Выпекать 20 — 40 минут. Готовые гренки извлечь из духовки, присыпать сахарной пудрой. Приятного аппетита!"
"Печенье ""Восхитительное""","['Мука пшеничная', 'Масло сливочное', 'Сахар', 'Яйцо куриное', 'Джем', 'Груша', 'Сок лимонный', 'Ванилин', 'Сода']","Продукты для приготовления печенья ""Восхитительного"" В глубокой чашке соединяем муку, сахар, масло, яйцо, ванилин, соду и лимонный сок, тщательно замешиваем тесто. Далее скатаем тесто в симпатичный колобок, накроем салфеткой и отправим в холодильник на один час. А пока тесто прохлаждается, моем груши, очищаем от кожуры и сердцевины, нарезаем мелкими кубиками. Через час достаем тесто и раскатываем в пласт толщиной в полсантиметра, вырезаем кружки нужного размера и укладываем в формочки для выпекания, слегка прижав пальцами к стенкам формочек, поверх теста выкладываем нарезку из груш и по две чайных ложечки джема, а дальше ставим формочки в заранее разогретую духовку до 180 град. на 20-25 минут. И всего через 25 минут наше ""ВОСХИТИТЕЛЬНОЕ"" печенье готово! Ну не чудо-ли чудесное! А какой аромат!"
